Apr 16 14:12:05: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): 
Apr 16 14:12:05: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): css/nestor.css
Apr 16 14:12:05: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): nestor.js
Apr 16 14:12:06: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): favicon.ico
Apr 16 14:12:06: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): favicon.ico
Apr 16 14:15:29: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): 
Apr 16 14:15:29: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): css/nestor.css
Apr 16 14:15:29: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): nestor.js
Apr 16 14:25:40: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): 
Apr 16 14:25:40: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): css/nestor.css
Apr 16 14:25:40: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): nestor.js
Apr 16 14:25:41: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): 
Apr 16 14:25:41: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): css/nestor.css
Apr 16 14:25:41: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): nestor.js
Apr 16 14:25:42: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): 
Apr 16 14:25:42: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): css/nestor.css
Apr 16 14:25:42: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): nestor.js
Apr 16 14:27:05: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): 
Apr 16 14:27:05: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): css/nestor.css
Apr 16 14:27:05: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): nestor.js
Apr 16 14:37:49: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): 
Apr 16 14:37:49: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): css/nestor.css
Apr 16 14:37:49: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): nestor.js
Apr 16 14:37:52: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): safe?__nl_n_eliom-process.p=true
Apr 16 14:37:53: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): safe?__nl_n_eliom-process.p=true
Apr 16 14:37:57: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): 
Apr 16 14:37:58: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): nestor.js
Apr 16 14:38:02: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): dlfg
Apr 16 14:39:00: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): safe?__nl_n_eliom-process.p=true
Apr 16 14:39:12: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): safe
Apr 16 21:45:32: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): safe
Apr 16 21:45:32: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): css/nestor.css
Apr 16 21:45:32: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): nestor.js
Apr 16 21:45:32: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): favicon.ico
Apr 16 21:45:32: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): favicon.ico
Apr 16 21:45:35: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): safe?__nl_n_eliom-process.p=true
Apr 16 21:45:35: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): start?__nl_n_eliom-process.p=true
Apr 16 21:45:36: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): power?__nl_n_eliom-process.p=true
Apr 16 21:45:37: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): spot?__nl_n_eliom-process.p=true
Apr 16 21:45:38: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): clean?__nl_n_eliom-process.p=true
Apr 16 21:45:38: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): max?__nl_n_eliom-process.p=true
Apr 16 21:45:41: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): 
Apr 16 21:45:41: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): nestor.js
Apr 16 21:45:45: access: connection for localhost from ::1 (Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0): power?__nl_n_eliom-process.p=true
